# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
3.2           	1.440322e-03	7.528998e-05	5.024172e-08	1.440347e-03	-1.440296e-03
3.25          	1.440335e-03	7.528364e-05	4.530265e-08	1.440358e-03	-1.440313e-03
3.3           	1.440321e-03	7.527926e-05	4.245289e-08	1.440343e-03	-1.440300e-03
3.35          	1.440301e-03	7.527508e-05	4.015558e-08	1.440321e-03	-1.440281e-03
3.4           	1.440284e-03	7.527016e-05	3.763142e-08	1.440303e-03	-1.440266e-03
3.45          	1.440276e-03	7.526730e-05	3.573294e-08	1.440294e-03	-1.440258e-03
3.5           	1.440281e-03	7.526509e-05	3.378557e-08	1.440298e-03	-1.440265e-03
3.55          	1.440300e-03	7.526252e-05	3.125131e-08	1.440315e-03	-1.440284e-03
3.6           	1.440298e-03	7.526063e-05	2.977552e-08	1.440313e-03	-1.440283e-03
3.65          	1.440291e-03	7.525870e-05	2.851731e-08	1.440305e-03	-1.440277e-03
3.7           	1.440278e-03	7.525620e-05	2.734034e-08	1.440291e-03	-1.440264e-03
3.75          	1.440270e-03	7.525482e-05	2.651138e-08	1.440283e-03	-1.440256e-03
3.8           	1.440273e-03	7.525392e-05	2.561041e-08	1.440286e-03	-1.440260e-03
3.85          	1.440285e-03	7.525293e-05	2.442459e-08	1.440297e-03	-1.440273e-03
3.9           	1.440290e-03	7.525194e-05	2.342232e-08	1.440302e-03	-1.440279e-03
3.95          	1.440287e-03	7.525117e-05	2.281469e-08	1.440299e-03	-1.440276e-03
4             	1.440282e-03	7.525009e-05	2.220024e-08	1.440293e-03	-1.440271e-03
4.05          	1.440272e-03	7.524911e-05	2.188494e-08	1.440283e-03	-1.440261e-03
4.1           	1.440266e-03	7.524837e-05	2.161051e-08	1.440277e-03	-1.440255e-03
4.15          	1.440266e-03	7.524797e-05	2.125924e-08	1.440277e-03	-1.440255e-03
4.2           	1.440277e-03	7.524781e-05	2.068918e-08	1.440287e-03	-1.440267e-03
4.25          	1.440287e-03	7.524768e-05	2.008058e-08	1.440297e-03	-1.440277e-03
4.3           	1.440291e-03	7.524734e-05	1.954810e-08	1.440301e-03	-1.440282e-03
4.35          	1.440289e-03	7.524688e-05	1.918837e-08	1.440298e-03	-1.440279e-03
4.4           	1.440279e-03	7.524634e-05	1.916115e-08	1.440289e-03	-1.440270e-03
4.45          	1.440270e-03	7.524586e-05	1.922606e-08	1.440280e-03	-1.440260e-03
4.5           	1.440271e-03	7.524568e-05	1.901695e-08	1.440281e-03	-1.440262e-03
4.55          	1.440272e-03	7.524551e-05	1.886806e-08	1.440281e-03	-1.440263e-03
4.6           	1.440273e-03	7.524530e-05	1.873569e-08	1.440282e-03	-1.440263e-03
4.65          	1.440273e-03	7.524506e-05	1.859895e-08	1.440282e-03	-1.440264e-03
4.7           	1.440273e-03	7.524484e-05	1.844045e-08	1.440282e-03	-1.440264e-03
4.75          	1.440280e-03	7.524489e-05	1.809223e-08	1.440289e-03	-1.440271e-03
4.8           	1.440280e-03	7.524476e-05	1.790059e-08	1.440289e-03	-1.440271e-03
4.85          	1.440283e-03	7.524475e-05	1.764558e-08	1.440292e-03	-1.440275e-03
4.9           	1.440287e-03	7.524478e-05	1.739556e-08	1.440296e-03	-1.440278e-03
4.95          	1.440286e-03	7.524474e-05	1.734711e-08	1.440295e-03	-1.440277e-03
5             	1.440283e-03	7.524465e-05	1.739308e-08	1.440292e-03	-1.440275e-03
5.05          	1.440280e-03	7.524451e-05	1.748334e-08	1.440288e-03	-1.440271e-03
5.1           	1.440279e-03	7.524440e-05	1.742925e-08	1.440288e-03	-1.440270e-03
5.15          	1.440278e-03	7.524428e-05	1.744333e-08	1.440286e-03	-1.440269e-03
5.2           	1.440276e-03	7.524415e-05	1.747644e-08	1.440284e-03	-1.440267e-03
5.25          	1.440274e-03	7.524405e-05	1.750975e-08	1.440283e-03	-1.440265e-03
5.3           	1.440273e-03	7.524397e-05	1.752781e-08	1.440282e-03	-1.440264e-03
5.35          	1.440273e-03	7.524391e-05	1.752153e-08	1.440282e-03	-1.440264e-03
5.4           	1.440273e-03	7.524386e-05	1.745839e-08	1.440282e-03	-1.440264e-03
